feature,in_train,in_test_original,added_to_test,fill_strategy,train_dtype,test_dtype_aligned,test_nan_count_aligned
Latitude,True,True,False,none,float64,float64,0
Longitude,True,True,False,none,float64,float64,0
Sample Date,True,True,False,none,object,object,0
Sample_Date,True,True,False,none,datetime64[ns],datetime64[ns],0
nir,True,True,False,none,float64,float64,19
green,True,True,False,none,float64,float64,19
swir16,True,True,False,none,float64,float64,19
swir22,True,True,False,none,float64,float64,19
NDMI,True,True,False,none,float64,float64,19
MNDWI,True,True,False,none,float64,float64,19
pet,True,True,False,none,float64,float64,0
dem_elev_mean_1km,True,False,True,nan_fill_non_sanlc_missing,float64,float64,200
dem_slope_1km,True,False,True,nan_fill_non_sanlc_missing,float64,float64,200
weather_precip_7d_sum,True,False,True,nan_fill_non_sanlc_missing,float64,float64,200
weather_temp_7d_max,True,False,True,nan_fill_non_sanlc_missing,float64,float64,200
weather_wind_7d_mean,True,False,True,nan_fill_non_sanlc_missing,float64,float64,200
soil_phh2o_mean_0_5cm,True,True,False,none,float64,float64,0
soil_clay_mean_0_5cm,True,True,False,none,float64,float64,0
soil_sand_mean_0_5cm,True,True,False,none,float64,float64,0
soil_silt_mean_0_5cm,True,True,False,none,float64,float64,0
soil_organic_carbon_mean_0_5cm,True,True,False,none,float64,float64,0
sanlc2022_pct_contiguous_low_forest_&_thicket,True,True,False,none,float64,float64,0
sanlc2022_pct_dense_forest_&_woodland,True,True,False,none,float64,float64,0
sanlc2022_pct_open_woodland,True,True,False,none,float64,float64,0
sanlc2022_pct_low_shrubland_(other),True,True,False,none,float64,float64,0
sanlc2022_pct_sparsely_wooded_grassland,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_natural_rivers,True,True,False,none,float64,float64,0
sanlc2022_pct_artificial_dams_(including_canals),True,True,False,none,float64,float64,0
sanlc2022_pct_natural_rock_surfaces,True,True,False,none,float64,float64,0
sanlc2022_pct_bare_riverbed_material,True,True,False,none,float64,float64,0
sanlc2022_pct_other_bare,True,True,False,none,float64,float64,0
sanlc2022_pct_village_scattered_(bare_&_low_veg__grass_combo),True,True,False,none,float64,float64,0
sanlc2022_pct_contiguous_&_dense_plantation_forest,True,True,False,none,float64,float64,0
sanlc2022_pct_natural_grassland,True,True,False,none,float64,float64,0
sanlc2022_pct_herbaceous_wetlands_(currently_mapped),True,True,False,none,float64,float64,0
sanlc2022_pct_herbaceous_wetlands_(previously_mapped),True,True,False,none,float64,float64,0
