feature,in_train,in_test_original,added_to_test,fill_strategy,train_dtype,test_dtype_aligned,test_nan_count_aligned
Latitude,True,True,False,none,float64,float64,0
Longitude,True,True,False,none,float64,float64,0
Sample Date,True,True,False,none,object,object,0
Sample_Date,True,True,False,none,datetime64[ns],datetime64[ns],0
nir,True,True,False,none,float64,float64,19
green,True,True,False,none,float64,float64,19
swir16,True,True,False,none,float64,float64,19
swir22,True,True,False,none,float64,float64,19
NDMI,True,True,False,none,float64,float64,19
MNDWI,True,True,False,none,float64,float64,19
terra_pet,True,True,False,none,float32,float32,0
terra_ppt,True,True,False,none,float64,float64,0
terra_tmax,True,True,False,none,float32,float32,0
terra_tmin,True,True,False,none,float32,float32,0
terra_vap,True,True,False,none,float32,float32,0
terra_srad,True,True,False,none,float32,float32,0
terra_ws,True,True,False,none,float32,float32,0
terra_aet,True,True,False,none,float32,float32,0
terra_q,True,True,False,none,float64,float64,0
terra_def,True,True,False,none,float32,float32,0
terra_soil,True,True,False,none,float32,float32,0
terra_swe,True,True,False,none,float64,float64,0
terra_pdsi,True,True,False,none,float32,float32,0
terra_vpd,True,True,False,none,float32,float32,0
sentinel_blue,True,True,False,none,float64,float64,92
sentinel_green,True,True,False,none,float64,float64,92
sentinel_red,True,True,False,none,float64,float64,92
sentinel_nir,True,True,False,none,float64,float64,92
sentinel_swir16,True,True,False,none,float64,float64,92
sentinel_swir22,True,True,False,none,float64,float64,92
sentinel_NDMI,True,True,False,none,float64,float64,92
sentinel_MNDWI,True,True,False,none,float64,float64,92
sentinel_NDTI,True,True,False,none,float64,float64,92
sentinel_CDOM,True,True,False,none,float64,float64,92
sentinel_NDVI,True,True,False,none,float64,float64,92
sentinel_EVI,True,True,False,none,float64,float64,92
sentinel_BSI,True,True,False,none,float64,float64,92
dem_elev_mean_1km,True,True,False,none,float64,float64,0
dem_slope_1km,True,True,False,none,float64,float64,0
weather_precip_7d_sum,True,True,False,none,float64,float64,0
weather_temp_7d_max,True,True,False,none,float64,float64,0
weather_wind_7d_mean,True,True,False,none,float64,float64,0
soil_phh2o_mean_0_5cm,True,True,False,none,float64,float64,0
soil_clay_mean_0_5cm,True,True,False,none,float64,float64,0
soil_sand_mean_0_5cm,True,True,False,none,float64,float64,0
soil_silt_mean_0_5cm,True,True,False,none,float64,float64,0
soil_organic_carbon_mean_0_5cm,True,True,False,none,float64,float64,0
soil_cec_mean_0_5cm,True,True,False,none,float64,float64,0
